model_dir,region_dir,day,q_idx,gpt52,claude,gemini,vote_kind,final_category
claude-sonnet-4-5,afrique,february_10,8,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_10,20,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_11,4,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_11,8,Answer Formatting / Option Mapping Failure,Answer Formatting / Option Mapping Failure,Answer Formatting / Option Mapping Failure,unanimous,Answer Formatting / Option Mapping Failure
claude-sonnet-4-5,afrique,february_11,19,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_12,9,Reading Comprehension / Option Interpretation Failure,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,majority,Reading Comprehension / Option Interpretation Failure
claude-sonnet-4-5,afrique,february_14,6,Event / Entity Misbinding,Retrieval Failure with Forced Guessing,Source Divergence Under Real-World Report Conflict,tiebroken,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_14,9,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,Inference Override / Over-Reasoning Instead of Extraction,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,afrique,february_14,10,Reading Comprehension / Option Interpretation Failure,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,majority,Reading Comprehension / Option Interpretation Failure
claude-sonnet-4-5,afrique,february_14,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_14,23,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_15,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_16,2,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_16,8,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_17,0,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Source Divergence Under Real-World Report Conflict,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_17,1,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_17,8,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_18,4,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_18,17,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,afrique,february_18,18,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_19,2,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_19,3,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_19,24,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_20,0,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_20,1,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_20,3,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,afrique,february_20,13,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,unanimous,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,afrique,february_22,1,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_22,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_22,15,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_9,0,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_9,4,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,tiebroken,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,afrique,february_9,9,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,arabic,february_10,7,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_10,19,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
